CATEGORIA_,decimalLatitude,decimalLongitude,TIPO_den,año,TIPO_inf
"3",10.501,-84.698,Suelos,"2018",erosion
"3",10.063,-84.079,Suelos,"2018",movimiento 
"1",10.072,-84.243,Agua ,"2019",contaminacion
"3",10.319,-84.512,Suelos,"2018",movimiento 
"2",10.466,-84.645,Vida silvestre,"2018",caceria
"3",9.521,-84.449,Suelos,"2018",movimiento 
"3",10.32,-84.821,Suelos,"2018",contaminacion
"3",10.292,-84.831,Suelos,"2018",movimiento 
"3",10.318,-84.823,Suelos,"2018",movimiento 
"1",9.932,-84.072,Agua ,"2018",contaminacion
"2",10.491,-85.019,Vida silvestre,"2018",caceria
"3",10.536,-85.671,Suelos,"2018",movimiento 
"0",10.403,-85.794,Forestal ,"2019",Tala
"3",10.889,-84.787,Suelos,"2018",quema 
"3",10.31,-84.816,Suelos,"2018",contaminacion
"3",9.931,-84.073,Suelos,"2018",movimiento 
"1",9.934,-84.963,Agua ,"2018",contaminacion
"3",9.972,-84.163,Suelos,"2018",quema 
"4",10.64,-85.651,Mineria,"2018",extraccion tajo
"4",10.377,-84.376,Mineria,"2018",extraccion tajo
"5",10.637,-85.642,Contaminacion aire ,"2019",emision particulas
"4",9.936,-84.097,Mineria,"2018",extraccion tajo
"4",10.542,-85.722,Mineria,"2018",extraccion tajo
"0",10.552,-83.51,Forestal ,"2019",Invasion ASP
"3",9.409,-84.154,Suelos,"2018",erosion
"5",10.396,-85.809,Contaminacion aire ,"2019",emision particulas
"4",9.421,-84.158,Mineria,"2018",extraccion tajo
"4",9.599,-84.319,Mineria,"2018",sedimentacion cuerpo agua
"1",9.072,-83.656,Agua ,"2018",obras no autorizadas en cauce
"1",9.615,-84.63,Agua ,"2018",contaminacion
"2",10.533,-84.662,Vida silvestre,"2018",caceria
"3",9.992,-83.032,Suelos,"2018",movimiento 
"4",9.932,-84.097,Mineria,"2018",extraccion tajo
"3",10.285,-84.185,Suelos,"2018",movimiento 
"3",9.625,-85.15,Suelos,"2018",movimiento 
"3",9.427,-84.161,Suelos,"2018",movimiento 
"1",10.568,-85.681,Agua ,"2018",contaminacion
"1",10.307,-85.827,Agua ,"2018",contaminacion
"2",10.19,-85.828,Vida silvestre,"2018",caceria
"0",8.537,-83.306,Forestal ,"2019",Invasion ASP 
"1",9.96,-85.678,Agua ,"2018",obras no autorizadas en cauce
"1",9.931,-84.08,Agua ,"2018",obras no autorizadas en cauce
"3",9.949,-84.108,Suelos,"2018",movimiento 
"3",10.179,-84.152,Suelos,"2018",movimiento 
"3",9.618,-84.631,Suelos,"2018",contaminacion
"2",10.292,-84.829,Vida silvestre,"2018",caceria
"1",8.643,-82.945,Agua ,"2018",contaminacion
"2",9.928,-84.214,Vida silvestre,"2018",caceria
"3",9.614,-84.632,Suelos,"2018",quema 
"4",9.931,-84.071,Mineria,"2018",sedimentacion cuerpo agua
"3",10.293,-84.931,Suelos,"2018",quema 
"2",10.295,-85.843,Vida silvestre,"2018",caceria
"3",9.973,-84.164,Suelos,"2018",contaminacion
"3",10.513,-85.646,Suelos,"2018",movimiento 
"2",9.642,-82.721,Vida silvestre,"2018",tenencia ilegal
"5",9.851,-85.401,Contaminacion aire ,"2019",emision particulas
"4",9.699,-84.667,Mineria,"2018",extraccion tajo
"5",9.941,-84.171,Contaminacion aire ,"2019",mal olor
"1",10.453,-84.005,Agua ,"2019",desvio 
"5",9.95,-84.079,Contaminacion aire ,"2019",mal olor
"2",10.21,-83.858,Vida silvestre,"2018",caceria
"4",9.974,-84.156,Mineria,"2018",extraccion tajo
"0",9.928,-84.105,Forestal ,"2019",Tala
"2",10.548,-85.698,Vida silvestre,"2018",caceria
"0",9.994,-85.703,Forestal ,"2019",Incendio 
"4",9.429,-84.161,Mineria,"2018",extraccion tajo
"2",10.429,-85.792,Vida silvestre,"2018",caceria
"2",9.41,-83.665,Vida silvestre,"2018",caceria
"3",10.085,-84.466,Suelos,"2018",movimiento 
"2",9.935,-84.525,Vida silvestre,"2018",caceria
"5",9.796,-83.886,Contaminacion aire ,"2019",mal olor
"1",9.96,-85.678,Agua ,"2019",contaminacion
"0",10.333,-83.954,Forestal ,"2019",Tala
"5",9.943,-84.156,Contaminacion aire ,"2018",emision particulas
"4",9.155,-83.748,Mineria,"2018",extraccion tajo
"3",9.928,-84.104,Suelos,"2018",movimiento 
"0",10.771,-83.594,Forestal ,"2019",Tala
"1",10.372,-84.341,Agua ,"2019",contaminacion
"3",10.304,-83.351,Suelos,"2018",quema 
"0",8.787,-83.624,Forestal ,"2019",Tala
"2",10.468,-84.958,Vida silvestre,"2018",caceria
"2",9.989,-84.309,Vida silvestre,"2018",tenencia ilegal
"3",9.932,-84.092,Suelos,"2018",erosion
"3",9.931,-84.08,Suelos,"2018",quema 
"3",9.67,-83.975,Suelos,"2018",contaminacion
"3",9.878,-85.523,Suelos,"2018",movimiento 
"2",9.654,-82.753,Vida silvestre,"2018",caceria
"1",10.47,-84.646,Agua ,"2019",obras no autorizadas en cauce
"3",9.93,-84.107,Suelos,"2018",movimiento 
"1",9.352,-83.689,Agua ,"2019",contaminacion
"1",9.978,-84.774,Agua ,"2019",contaminacion
"1",9.929,-84.07,Agua ,"2019",obras no autorizadas en cauce
"3",10.095,-84.378,Suelos,"2018",movimiento 
"3",9.813,-83.863,Suelos,"2018",movimiento 
"3",9.935,-84.077,Suelos,"2018",movimiento 
"3",10.452,-84.007,Suelos,"2018",quema 
"3",10.449,-84.062,Suelos,"2018",quema 
"4",9.442,-84.166,Mineria,"2018",extraccion tajo
"3",8.636,-83.167,Suelos,"2018",quema 
"3",9.99,-83.032,Suelos,"2018",movimiento 
"1",9.426,-84.16,Agua ,"2019",contaminacion
"4",9.932,-84.075,Mineria,"2018",sedimentacion cuerpo agua
"2",10.334,-85.85,Vida silvestre,"2018",caceria
"2",9.614,-84.631,Vida silvestre,"2018",caceria
"1",9.958,-84.08,Agua ,"2019",obras no autorizadas en cauce
"2",9.932,-84.068,Vida silvestre,"2018",caceria
"3",10.338,-83.958,Suelos,"2018",quema 
"4",10.206,-83.782,Mineria,"2018",extraccion tajo
"3",10.473,-85.781,Suelos,"2018",quema 
"3",9.717,-82.819,Suelos,"2018",contaminacion
"0",9.737,-82.841,Forestal ,"2019",Invasion ASP 
"5",10.483,-84.697,Contaminacion aire ,"2018",mal olor
